order_gk,offer_id
3000625890649,300052008940
3000623692060,300051862928
3000632795839,300052395592
3000630405851,300052291971
3000578051606,300050857499
3000579625693,300050936273
3000585766641,300051128773
3000595895854,300051551562
3000617528682,300051723891
3000552870729,300050609062
3000590107142,300051311366
3000592321032,300051368648
3000593096293,300051405427
3000588656484,300051228377
3000579876373,300050941193
3000583471074,300051004046
3000580151815,300050952066
3000584116844,300051044569
3000587906535,300051188301
3000553745834,300050642037
3000554396470,300050670056
3000578051354,300050857247
3000593120982,300051406491
3000595071377,300051520356
3000617501444,300051719907
3000588856075,300051243162
3000589457919,300051278910
3000594421405,300051481390
3000598161152,300051602741
3000598086490,300051599360
3000598836460,300051637409
3000557335931,300050764636
3000598788016,300051635080
3000598687014,300051625789
3000600061366,300051692615
3000617529031,300051724342
3000617576634,300051728418
3000579526637,300050934755
3000579700743,300050937510
3000583470944,300051003792
3000583467114,300051000243
3000555220995,300050708095
3000594396889,300051480443
3000600061296,300051692568
3000557762134,300050777329
3000588757001,300051236272
3000554846785,300050686847
3000598285668,300051604304
3000577650511,300050836040
3000578576418,300050887079
3000584891303,300051089445
3000586316525,300051146008
3000587906535,300051188290
3000590807033,300051337722
3000590806745,300051337490
3000597436248,300051578800
3000598036327,300051597179
3000618150875,300051746441
3000553146538,300050620830
3000590881222,300051339235
3000557735451,300050774665
3000577401247,300050824751
3000579250944,300050919199
3000579526842,300050935017
3000582815594,300050969866
3000585766809,300051128975
3000585891122,300051133316
3000588081771,300051199150
3000598412015,300051606618
3000598788270,300051635480
3000557761624,300050776830
3000582765534,300050966010
3000585091342,300051103136
3000554920788,300050690435
3000554471421,300050674975
3000556321122,300050747029
3000595771653,300051547963
3000617501197,300051719672
3000587781203,300051178362
3000628781634,300052183765
3000631182046,300052334913
3000553446554,300050627124
3000583816750,300051033039
3000623591907,300051854506
3000632446486,300052382987
3000629082607,300052197139
3000630456158,300052294811
3000627483193,300052089180
3000622392194,300051771168
3000623467068,300051845240
3000624941086,300051955223
3000632245647,300052366976
3000622141970,300051753485
3000622466368,300051774376
3000627358419,300052075872
3000582815733,300050969913
3000623018263,300051816718
3000599860849,300051680085
3000596985865,300051569420
3000631281593,300052341826
3000632920900,300052409172
3000628631325,300052159424
3000623691505,300051862213
3000629106863,300052200380
